,modelo_celular,maior_preco,menor_preco,data_anuncio,destino_do_link,link_aunicio
0,iPhone 11 Pro Max 512GB Prateado iOS 4G + Wi-Fi Câmera 12MP,"R$ 9.599,00","R$ 9.599,00", Fev/2020,americanas.b2w.io,https://track2.jacotei.com.br/r?h=eJxVUstu2zAQ%2FBWBgHypLfNh0pQBI3BdOJcaMdBDjwEfy5iIIqqUHDUI8u9dKwnaAjzszO6CM0O%2BkmfIfUwt2RBWMTInw0sHCFwT3SPCLid%2FcQPZvJJLbrBxHoau3yyXQzbuETKvjJdTXbn09Mkup%2FUb49yWOxdAc%2B6D19ILu%2BZCrsPKy0B1HYKaxa2sNQNXMwAnfLAsaK0CAz5LW%2BnrAABMOa6NcFZSEDZ4McvgYwY33KOq7aSpFLuSH%2FCM41iZJ8jRmdb0V1mVzchPVoaEFVe81kprWYpDyKb9VYpvu8P3BRULToViJVfQmYys5aMJsYnGpx7Z1LXvo7v93RHxuUHYpBEyRuU6Rza00nJOnk1zwRRrWdcVnZMW5WB08XROLRSMFaeciqP5XUjGb78iMgPgDUW8%2B1Gsbosvxc%2B4OMRif4MuTMH48fT3YS7oqY8PLXjkUgiQ76NHntLAVpI7SVUNQljGwVLrlFoxATZonO6HlGGaFvITfUjb%2FZfX1QxKekj5ZRqX63%2BIj409NJfGZPKGreyu30cryhgP5O0PAvG4pA%3D%3D
1,Smartphone Samsung Galaxy S20 Ultra SM-G988B Desbloqueado Dual Chip 512GB Android 10 Preto,"R$ 8.499,00","R$ 8.499,00", Mar/2020,jacotei.com.br,https://www.jacotei.com.br/smartphone-samsung-galaxy-s20-ultra-sm-g988b-desbloqueado-dual-chip-512gb-android-10-preto/p
2,"iPhone 11 Pro Max Apple com 512GB, Tela Retina HD de 6,5”, iOS 13, Tripla Câmera Traseira, Resistente à Água e Bateria de Longa Duração - Dourado","R$ 8.447,12","R$ 8.447,12", Mar/2020,pontofrio-imagens.com.br,https://track2.jacotei.com.br/r?h=eJxNUcFu2zAM%2FRVCh54cx3bs2gkQGGvSbYcUC7Yedgs4iU612ZZAS8WKov8%2BOmi2nYjH90jwPb6qZ%2BLJulFtVJ7mKlHhxZMA3Vv9S6BnZ6IOavOqIvdCPIXgp81yeSGCS70bg%2BvYulS7If3ByyrLsrIs6jaG4TS5yJq2P1G7QPZmbg1kbBy2ovbIaBx7Ju0ulJZdNIbtdcWNFvmgr%2BOn7w%2BHxWnxeH%2B4l7L7u0DAdUIu1l6rTZY2VaKesY9ipinLOs2LRI04zN7s8cmNBHkOR3bwgL%2Fhg%2Fc9gZwEVV58ukvgkXqErxTsiPB5D4bgNqnaBOyXb5CvhGfrRbFrB2IUhBNZxkRGJjvNHghaaM8RgeAOA7HFecnBjWeEfWRsWwcL2Es84uBf7HHEabLnkYz0XNcRn6yR%2Fso02brO16ZoKqqLShuT665b12VXFFk3P24KjumiXjVX9G74OP8IPsqT5nzknLPjl4u0qv9rvKt31MceWb0JxZKlMvVthmW5Vm9%2FAPEwswQ%3D
3,"iPhone 11 Pro Max Apple com 512GB, Tela Retina HD de 6,5”, iOS 13, Tripla Câmera Traseira, Resistente à Água e Bateria de Longa Duração - Prateado","R$ 8.447,12","R$ 8.447,12", Nov/2019,pontofrio-imagens.com.br,https://track2.jacotei.com.br/r?h=eJxNUUtv2zAM%2FiuEDj05juU4iRsgMNq02w4pFnQ97BbQMp2qsy2BlooVRf%2F76KDZdhK%2BBx8f9a5eiUfrBrVROtUqUeHNkwDTWfNLoGfXRBPU5l1F7kR4DsGPm%2Fn8LASXejcE17J1qXF9WvN8mWVZUeSrKob%2BOLrIhrYvaFwgezVRPTU29ltxe2RsHHsm486SkV40hO2lxZURe28u5cefD%2FvZcfZ0v7%2BXZ%2Fe3gYBLhWxsvFGbLC2XiXrFLkqYsijWqc4TNWA%2FZbOHZzcQaA0HdvCAv%2BHG%2B45AVoKlzr%2FeJvBEHcIjBTsgfLuDhmCVLKsE7PcfoBeis%2FXi2FU9MQrCkSxjIiWjHacMBBVUp4hAcIuB2OLUZO%2BGE8JdZKwqBzOZL5pE%2BHf3OOA42tNAjXCubYmPthF%2BpVusC6pXRmNGed2uG13npc6LsrleXBtxj8Exnd2L8oI%2BEx%2BmT4Iv8kvTgWTmyfHb2bpc%2F0d8unfUxQ5ZfYjEckyF2ZoWZGr18QfvabRj
4,"iPhone 11 Pro Max Apple com 512GB, Tela Retina HD de 6,5”, iOS 13, Tripla Câmera Traseira, Resistente à Água e Bateria de Longa Duração - Prateado","R$ 8.447,12","R$ 8.447,12", Jan/2020,casasbahia-imagens.com.br,https://track2.jacotei.com.br/r?h=eJxNUk1v2zAM%2FSuEDj05jp35IwkQGG1abIcUK7YeegsYmU602ZJBScWKov99dDBvOwmP7%2FHjkXpXr8TeOKu2Kk9zlajwNpIA3Rv9U%2BDIro06qO27itwLcQlh9Nvl8koEl2r06E94MZhqN6QnXpZZlhXFqmpiGI7eRda0%2B4HaBTI3U2ig1sRhJ%2BoRGVvHI5N2V0o7G8iG3VziRot80HP68eXxsDgunh8OD%2FLs%2FxYQMGfIyHrUapul6zJRr9hHcbMuijrNV4myOEzmzNPFWYI8hyd28Ii%2F4HYcewIZCcp89fkugWfqEb5RMBbhyz20BFVSNgmYr98h%2FyQ8m1EU%2B2YgRkHoyTAmkuKNnzwQNNCcIwLBHQZig1ORg7NnhPvI2DQOFtJfOLHwb%2FHRovfmbKmVmOs64qNpJV5oqqtKU7dpi7roqKt0mZ%2FarKsq3JzqUtQ%2BOKarui7qGf6xvJ%2FOJJPInaYVSdez47eruKz%2FC8xy6mOPrD6EYj39h6zetHW%2BVh%2B%2FAbahtKg%3D
5,"iPhone 11 Pro Max Apple com 512GB, Tela Retina HD 6,5”, iOS 13, Tripla Câmera Traseira, Resistente à Água e Bateria de Longa Duração - Cinza-Espacial","R$ 8.447,12","R$ 8.447,12", Fev/2020,extra-imagens.com.br,https://track2.jacotei.com.br/r?h=eJxNUk1v2zAM%2FSuEDj05TpTYtRsgMNY02A4pVmw97BYwEpNqsyWBkop2Rf%2F75KDedhLeBwk%2BUm%2FimTgYZ8VayFKKQsRXTxmo3qhfGXp2Oqko1m8icZ%2BFpxh9WM%2FnFyG6kl4iY6ncUB55Xi8Wi6pa1l2KwyG4xIo2P1G5SOZqpAbSJg2b7PbIqB17JuUuknI2ko2bqcWVyvZBTeWHH%2Ff72WH2uNvv8rP92yCDqSJPq7wS60XZ1oV4xj7lIG1VNaVcFsLiMOYyD0%2FOEkgJD%2BzgHl%2Fgk%2Fc9QR4Jarn8fFvAI%2FUI3ygai%2FDlDq6LuivAfP0OcpVFNj7L224gxowwkGEssj%2BYMAYg6KA7JwSCW4zEBkET7J09I9wlxq5zMIOtsb9xtgselcH%2B39qTxRDM2ZLOnDudiA9GZ75t1UrfHPUNaVoepW7l6YSnppGtaqr6mrI7RMd0cTer1QQ%2FUu%2BmI407ylOdHb9erHXzH%2FFh3lKfemTxniVW48c4kqo0VuL9D5metAI%3D
6,"OnePlus 7 Pro tela 6,67 polegadas completa Smartphone 6G + 128G 8G + 256G longa espera","R$ 8.381,01","R$ 8.381,01", Mar/2020,americanas.b2w.io,https://track2.jacotei.com.br/r?h=eJxVkWFr2zAQhv%2BKECRfljqWZNlyIIzQ0X7ZaGE%2FoJylU2KqWJ4sN5TS%2F76L17IN9OHe596D905v%2FAXT1MeB77goBN%2Fw%2FDoiCRt6%2B0xyTNHNNvPdG59ToMYp53Habbc5gX3GJAtweqkLG8%2BfdLuMfwVr99Jaj0ZK553RTnWNVLrxldO%2BNK339brf69YItK1AtMr5Tnhjai9QruNeoxICBSFsNQL1S2gduHVC1ye0%2BYlS7ZdMK3VYyTt6l8ulgDOm3sIA0zVW0SXiyyo5UiWqqtKNUW27Unc%2BwfBrpb4d7r7flOpGlqoWK1njCIloJy%2Fg%2B9CDixPROA5%2FrIfbhx%2BkT4FkiBdMdCs7Wr4rC6M3%2FAXCTGc0yoiiFBs%2BUCA63sOAj2GeWMMeU2QZA7B6UzdsjAGP4GBilHYMmIH9PEPK4ykOyOp79oUJae6ZuVZSEwhxOALDacQEf39tpoWn%2FjigIxa9x%2FTUO%2BJoresqrRrr6rYstZba6QoAQTRQQUfuKceEi1vpT%2FWR%2BvDfMa%2BLQsZjTK%2BLXTf%2FgI%2BJWwxzgMTfqZXsNYCTxsgG%2BftvoH7EBg%3D%3D
7,"IPhone 11 Pro Max Apple 512GB 6.5"" Desbloqueado Verde","R$ 9.599,00","R$ 8.371,74", Out/2019,jacotei.com.br,https://www.jacotei.com.br/iphone-11-pro-max-apple-512gb-6-5-desbloqueado-verde/p
8,"IPhone 11 Pro Max Apple 512GB 6.5"" Desbloqueado Cinza Espacial","R$ 9.766,45","R$ 8.371,74", Out/2019,jacotei.com.br,https://www.jacotei.com.br/iphone-11-pro-max-apple-512gb-6-5-desbloqueado-cinza-espacial/p
9,"IPhone 11 Pro Max Apple 512GB 6.5"" Desbloqueado Prata","R$ 9.766,45","R$ 8.371,74", Out/2019,jacotei.com.br,https://www.jacotei.com.br/iphone-11-pro-max-apple-512gb-6-5-desbloqueado-prata/p
