modelo_celular,maior_preco,menor_preco,data_anuncio,destino_do_link,link_aunicio,timestamp
"iPhone 11 Pro Max Apple com 512GB, Tela Retina HD de 6,5”, iOS 13, Tripla Câmera Traseira, Resistente à Água e Bateria de Longa Duração - Dourado","R$ 9.599,00","R$ 9.599,00", Mar/2020,www.pontofrio-imagens.com.br,https://track2.jacotei.com.br/r?h=eJxNUcFu2zAM%2FRVCh54cx3bi2g4QGGvSbYcUC7Yedgs4iU612ZZAS8WKov8%2BOmi2nYjH90jwPb6qZ%2BLJulFtVJ7mKlHhxZMA3Vv9S6BnZ6IOavOqIvdCPIXgp81yeSGCS70bg%2BvYulS7If3ByzLLsvW6qNoYhtPkImva%2FkTtAtmbuTWQsXHYitojo3HsmbS7UFp20Ri21xU3WuSDvo6fvj8cFqfF4%2F3hXsru7wIB1wm5WHutNllal4l6xj6KmaZsmjRL1IjDbM0en9xIkOdwZAcP%2BBs%2BeN8TyEVQ5sWnuwQeqUf4SsGOCJ%2F3YAhuk7JNwH75BvlKeLZeFLt2IEZBOJFlTGRkstNsgaCF9hwRCO4wEFuclxzceEbYR8a2dbCAvaQjBv6lHkecJnseyUjPdR3xyRrpr0ydNVXemKIuqSpKbUyuu66p1l1RZN38tyk4pot6VV%2FRu%2BHj%2FCL4KD%2Ba45Fzzo5fLtKy%2Bq%2Fxrt5RH3tk9SYUS5TqFtd1s2pq9fYHbXqytw%3D%3D,2020-04-07
iPhone 11 Pro Max 512GB Prateado iOS 4G + Wi-Fi Câmera 12MP,"R$ 9.599,00","R$ 9.599,00", Fev/2020,images-americanas.b2w.io,https://track2.jacotei.com.br/r?h=eJxVUstu2zAQ%2FBWBgHypLfNh0pQBI3BdOJcaMdBDjwEfy5iIIqqUHDUI8u9dKwnaAjzszO6CM0O%2BkmfIfUwt2RBWMTInw0sHCFwT3SPCLid%2FcQPZvJJLbrBxHoau3yyXQzbuETKvjJdTXbn09Mkup%2FUb49yWOxdAc%2B6D19ILu%2BZCrsPKy0B1HYKaxa2sNQNXMwAnfLAsaK0CAz5LW%2BnrAABMOa6NcFZSEDZ4McvgYwY33KOq7aSpFLuSH%2FCM41iZJ8jRmdb0V1mVzchPVoaEFVe81kprWYpDyKb9VYpvu8P3BRULToViJVfQmYys5aMJsYnGpx7Z1LXvo7v93RHxuUHYpBEyRuU6Rza00nJOnk1zwRRrWdcVnZMW5WB08XROLRSMFaeciqP5XUjGb78iMgPgDUW8%2B1Gsbosvxc%2B4OMRif4MuTMH48fT3YS7oqY8PLXjkUgiQ76NHntLAVpI7SVUNQljGwVLrlFoxATZonO6HlGGaFvITfUjb%2FZfX1QxKekj5ZRqX63%2BIj409NJfGZPKGreyu30cryhgP5O0PAvG4pA%3D%3D,2020-04-07
"iPhone XS Apple com 512GB, Tela Super Retina HD de 5,8”, iOS 12, Dupla Câmera Traseira, Resistente à Água e Reconhecimento Facial - Dourado","R$ 9.529,00","R$ 9.529,00", Mar/2020,www.pontofrio-imagens.com.br,https://track2.jacotei.com.br/r?h=eJxNUU1v2kAQ%2FSujPeRkjL3Ogo2ErBbS9pCqUeGQGxrWA2xre1f7ESmK8t87WKHtyXofMzvv%2BU28kA%2FGjmIlyrwUmYivjhjo3ujfDJ23XdJRrN5E8j0LlxhdWM3nkxBt7uwY7ckbm2s75Ec%2FL6tGFQtVtykOh2CT17T%2BhdpGMndXaqDOpGHNboceO%2BudJ20nSfMuGuP6tuJOs33Qt%2FHD8%2FfH2WG2f3h84M%2Fm7wIGtwm%2BWDstVkVeq0y8YJ84TKNkkxeZGHG4RjNPFzsSPO%2Fgk3M9AV8CqpRfP2ewpx5hlxx5%2BEnRjAjfttARqKxuMzA%2FdlDKDLbJsW3TDuQR9h4DGY8ZTwQTrvcTtNCeEwIxx5kupM3AvIUvqA32MIMt98Kn%2F%2Bs7jRiCOY%2FUMWdPJ%2FIH0zFfYVGUzbKQi2NzVMuma%2B5lgRXWEiXJ6p7dIVpPk7uqb%2Bgj6pOdXuW%2Fcy0GI52tf52savkf8eHeUJ969OKdJc8lCtU1siC9EO9%2FACjtsbY%3D,2020-04-07
"iPhone 11 Pro Max Apple com 512GB, Tela Retina HD de 6,5”, iOS 13, Tripla Câmera Traseira, Resistente à Água e Bateria de Longa Duração - Prateado","R$ 8.447,12","R$ 8.447,12", Nov/2019,www.pontofrio-imagens.com.br,https://track2.jacotei.com.br/r?h=eJxNUUtv2zAM%2FiuEDj05juU4iRsgMNq02w4pFnQ97BbQMp2qsy2BlooVRf%2F76KDZdhK%2BBx8f9a5eiUfrBrVROtUqUeHNkwDTWfNLoGfXRBPU5l1F7kR4DsGPm%2Fn8LASXejcE17J1qXF9WvN8mWVZUeSrKob%2BOLrIhrYvaFwgezVRPTU29ltxe2RsHHsm486SkV40hO2lxZURe28u5cefD%2FvZcfZ0v7%2BXZ%2Fe3gYBLhWxsvFGbLC2XiXrFLkqYsijWqc4TNWA%2FZbOHZzcQaA0HdvCAv%2BHG%2B45AVoKlzr%2FeJvBEHcIjBTsgfLuDhmCVLKsE7PcfoBeis%2FXi2FU9MQrCkSxjIiWjHacMBBVUp4hAcIuB2OLUZO%2BGE8JdZKwqBzOZL5pE%2BHf3OOA42tNAjXCubYmPthF%2BpVusC6pXRmNGed2uG13npc6LsrleXBtxj8Exnd2L8oI%2BEx%2BmT4Iv8kvTgWTmyfHb2bpc%2F0d8unfUxQ5ZfYjEckyF2ZoWZGr18QfvabRj,2020-04-07
"iPhone 11 Pro Max Apple com 512GB, Tela Retina HD de 6,5”, iOS 13, Tripla Câmera Traseira, Resistente à Água e Bateria de Longa Duração - Prateado","R$ 8.447,12","R$ 8.447,12", Jan/2020,www.casasbahia-imagens.com.br,https://track2.jacotei.com.br/r?h=eJxNUk1v2zAM%2FSuEDj05jp35IwkQGG1abIcUK7YeegsYmU602ZJBScWKov99dDBvOwmP7%2FHjkXpXr8TeOKu2Kk9zlajwNpIA3Rv9U%2BDIro06qO27itwLcQlh9Nvl8koEl2r06E94MZhqN6QnXpZZlhXFqmpiGI7eRda0%2B4HaBTI3U2ig1sRhJ%2BoRGVvHI5N2V0o7G8iG3VziRot80HP68eXxsDgunh8OD%2FLs%2FxYQMGfIyHrUapul6zJRr9hHcbMuijrNV4myOEzmzNPFWYI8hyd28Ii%2F4HYcewIZCcp89fkugWfqEb5RMBbhyz20BFVSNgmYr98h%2FyQ8m1EU%2B2YgRkHoyTAmkuKNnzwQNNCcIwLBHQZig1ORg7NnhPvI2DQOFtJfOLHwb%2FHRovfmbKmVmOs64qNpJV5oqqtKU7dpi7roqKt0mZ%2FarKsq3JzqUtQ%2BOKarui7qGf6xvJ%2FOJJPInaYVSdez47eruKz%2FC8xy6mOPrD6EYj39h6zetHW%2BVh%2B%2FAbahtKg%3D,2020-04-07
"iPhone 11 Pro Max Apple com 512GB, Tela Retina HD 6,5”, iOS 13, Tripla Câmera Traseira, Resistente à Água e Bateria de Longa Duração - Cinza-Espacial","R$ 8.447,12","R$ 8.447,12", Fev/2020,www.extra-imagens.com.br,https://track2.jacotei.com.br/r?h=eJxNUk1v2zAM%2FSuEDj05TpTYtRsgMNY02A4pVmw97BYwEpNqsyWBkop2Rf%2F75KDedhLeBwk%2BUm%2FimTgYZ8VayFKKQsRXTxmo3qhfGXp2Oqko1m8icZ%2BFpxh9WM%2FnFyG6kl4iY6ncUB55Xi8Wi6pa1l2KwyG4xIo2P1G5SOZqpAbSJg2b7PbIqB17JuUuknI2ko2bqcWVyvZBTeWHH%2Ff72WH2uNvv8rP92yCDqSJPq7wS60XZ1oV4xj7lIG1VNaVcFsLiMOYyD0%2FOEkgJD%2BzgHl%2Fgk%2Fc9QR4Jarn8fFvAI%2FUI3ygai%2FDlDq6LuivAfP0OcpVFNj7L224gxowwkGEssj%2BYMAYg6KA7JwSCW4zEBkET7J09I9wlxq5zMIOtsb9xtgselcH%2B39qTxRDM2ZLOnDudiA9GZ75t1UrfHPUNaVoepW7l6YSnppGtaqr6mrI7RMd0cTer1QQ%2FUu%2BmI407ylOdHb9erHXzH%2FFh3lKfemTxniVW48c4kqo0VuL9D5metAI%3D,2020-04-07
"IPhone 11 Pro Max Apple 512GB 6.5"" Desbloqueado Verde","R$ 9.599,00","R$ 8.371,74", Out/2019,jacotei.com.br,https://www.jacotei.com.br/iphone-11-pro-max-apple-512gb-6-5-desbloqueado-verde/p,2020-04-07
"IPhone 11 Pro Max Apple 512GB 6.5"" Desbloqueado Prata","R$ 9.599,00","R$ 8.371,74", Out/2019,jacotei.com.br,https://www.jacotei.com.br/iphone-11-pro-max-apple-512gb-6-5-desbloqueado-prata/p,2020-04-07
"IPhone 11 Pro Max Apple 512GB 6.5"" Desbloqueado Dourado","R$ 9.599,00","R$ 8.369,06", Out/2019,jacotei.com.br,https://www.jacotei.com.br/iphone-11-pro-max-apple-512gb-6-5-desbloqueado-dourado/p,2020-04-07
"Samsung Galaxy Z Flip Preto, com Tela de 6,7?, 4G, 256GB e Câmera Dupla de 12MP + 13MP - SM-F700FZKDZTO","R$ 8.099,44","R$ 8.099,44", Abr/2020,www1.fastshop.com.br,https://track2.jacotei.com.br/r?h=eJxlkk1v4yAQhv8K4tDLGn80ifMhWZG23kSrVdqoyV5yiQiMXW%2BNQYCbTar%2B946drDZSL8C8vMzAM7zTN7Cu0g2d0SRMaED9yQAGoq7EK4bGatkKT2fvtLU1brx4b9wsio7HY1hw592LNqHQKjzY6AiHyEQy2iw3q8U4jhe79fZpv37OI8eVa5uSlbzmf0%2FszIq6MsxY8Jrdj9LywJxiBR4pzq%2FyjGKXOpobbn0DNsNZQGU1%2B8OF9lDdtV7tnW5RzbD2%2FlZWIKtWdXIfCq4Mr8omWz%2F%2FWP38vbqIuvHQ%2BOwx70MPVmVfLn0nMJkStwXYnl3T4Ooxx%2BHLKWQmjKCzOJyMAvrG6xZxTuLpNBwOA9pw1dHdXHCQZY%2BD7MgCcZB1hyMgWI9soeZEAkmD8Twgw2VAkNLyOwHyMFdgOclbc3Ek96s1%2BUaSAU6MbFbscptf%2BW779L%2BdbcOdQwogUdNFAXZfya7nogApk2lxGCVpPE6TVExHMXA5iUEO%2BBDdzmsLvRsd%2F8LrOxbYJbLBH9C9mnsotT311tH4RriaH6Bua27pB25ZJESnhZQDOUnpxycBMdGG,2020-04-07
