nome,faixa_preco,menor_preco,piece_link,since,img,timestamp
Celular Samsung Galaxy A-30-S 64GB Dual - SM-A307GZLRZTO,"R$ 11.942,10","R$ 11.942,10",https://track2.jacotei.com.br/r?h=eJxVUdFq4zAQ%2FBUjSJ5ix5IsRwqE4rYkLy2Fyz31pWykVWrqWD7Zbi6U%2Fvtt3St3BT3szI5gZvaNvWLs69CyNeMZZws2XDokYJvavhDsYnCjHdj6jY2xocXzMHT9erkcItgXjCIDp6Y5s%2BH0xS6n71dg7UZY61EL4bzTysnDSki18oVTPtfG%2B3Jeb5TRHK3hiFY6f%2BBe69JzFPOwUVggFnnuNRqFQHvpC4U4j%2BjqiHZ4IlebydNMVjOxpXc%2BnzM4YawttNB%2F2MoOkfgpyhBo4oorbcpcmJnc%2Bgjtr5m8rbZ3aS5TkcuSz0SJHURiD%2BIMvm5qcKEnNnTtp7S6ebgn%2FNwQbMIZI3VlO8vWeabVgr1CM1KNnJtCZHzBWjJE5d1gMzYQkz2c%2BrE9Jjto4PclqVKZp%2FukLHbXye0ITZIm%2B%2Fu0kvlq93j34%2FHnw7%2B7jBSpr48tOuKC9xifake8dKrUfgXGl1jIwheF4xrg4FEZBQpJ3Q8h4qSW6gv99VV9q%2BsjCgx4DPEyydXqP%2BJ7EvZOq0ixmS6MV2Ace%2F8Dexm5eQ%3D%3D,No J·Cotei desde Abr/2020,https://images-americanas.b2w.io/produtos/01/00/img/1515896/0/1515896037P1.jpg,Mon Apr 20 17:40:07 2020
iPhone 11 Pro Max 512GB Prateado iOS 4G + Wi-Fi C‚mera 12MP,"R$ 8.798,99","R$ 8.798,99",https://track2.jacotei.com.br/r?h=eJxVUU1r4zAU%2FCtG4FyaOJYUKVIglGyW9LKhgT3ssejjqRF1La%2Fs1FtK%2F%2Fu%2Bui27BR3ezBuhmdELeYLcx9SSDaEVJXMyPHeAwDXRPSDscvIXN5DNC7nkBhfnYej6zXI5ZOMeILPKeDHNlUuPn%2Bxyun5tnNsy5wIoxnzwSnhu14yLdVh5EWqlQ5CzuBVaUXCaAjjug6VBKRkosFnaCq8DAFDpmDLcWVEDt8HzWQYfM7jhDl1tJ08l35XsgGccx8o8Qo7OtKZ%2Fs1XZjPwUZUg4Mcm0kkqJkh9CNu3vkn%2FfHX4sar5gNZe0ZBI6k5G1bDQhNtH41CObuvZdutvfHhGfG4RNGiFjVa5zZFNXSszJk2ku2KJaa1VpPSct%2BsHu4umcWigoLU45FUfzpxCU3XxDZAbAJ4p4%2B7NY3RRXxa%2B4OMRif40xTEHZ8fTvZy4Yqo%2F3LXjkUgiQ76JHvq4DXQnmRC01cG4pA1tbJ%2BWKcrBBobofUoZJzcUn%2BrC2%2B1LYWxq0dJ%2Fy8yQX6%2F%2BIjxt7aC6NyeQVVxmTE60E18Ea8voXsmu5WA%3D%3D,No J·Cotei desde Fev/2020,https://images-americanas.b2w.io/produtos/01/00/img/262987/1/262987167P1.jpg,Mon Apr 20 17:40:07 2020
"Smartphone Samsung Galaxy Z Flip 256GB - Ultravioleta 8GB RAM 6,7 C‚m.","R$ 8.369,07","R$ 8.369,07",https://track2.jacotei.com.br/r?h=eJxVkUtvGyEUhf8KYuGVmZfNPCxZURup2TSbRt10E10YZkILA%2BJh1Y7y33s7cdpkhc65F%2B79Ds%2F0pELUbqEHWhc13dJ09gqFNFr%2BQumDG7NM9PBMczBYeErJx0NZSpOFagoLM1z0okzWFyiks4UIZbQQkn9yi2IRbMzLzGYw8PvMLmwy2rOGt7Ng2aQAJ%2B2MSsB6NAJY1nZM4jFmb4BFZSatWF1ZX%2Fqy5px3w76qyqRKHDuVN5vl%2BBOkS0pvcrKP0eUg1QfLqlFnexSNWCW%2B7UHPy9HDGMBtPG66qPCox%2BPQcb7BieZVfiDDJKSX9FAVPd%2FSE5iMIfW7diiqbksXsH8ze%2FiHTR5escndik1%2BkC%2BITRD77jNh5Ps7cNKj9e3TPWm3Hbm9scX%2FP8gLxIi7qhE9N03rXugrKYdm6EUtOe9r3jVDNbQC1LTv96NoeuyOyQW1du%2BaN3Xd8v7KRb6%2BgUFSswvntZ1374zrjVvMwECgL1gKGALd8aYW%2B6GlL38AbAG%2BxA%3D%3D,No J·Cotei desde Abr/2020,https://a-static.mlcdn.com.br/500x500/smartphone-samsung-galaxy-z-flip-256gb-ultravioleta-8gb-ram-67-cam-dupla-selfie-10mp/magazineluiza/155579400/4a3b32156c114ac63c306053c3fcd2de.jpg,Mon Apr 20 17:40:07 2020
Smartphone Samsung Galaxy Z Flip SM-F700F Desbloqueado Dual Chip 256GB Android 10.0 Preto,"R$ 8.369,07","R$ 8.369,07",/smartphone-samsung-galaxy-z-flip-sm-f700f-desbloqueado-dual-chip-256gb-android-10-0-preto/p,No J·Cotei desde Mar/2020,//img.ijacotei.com.br/produtos/200/200/02/91/16359102.jpg,Mon Apr 20 17:40:07 2020
"IPhone 11 Pro Max Apple 512GB 6.5"" Desbloqueado Dourado","R$ 8.074,15","R$ 9.498,99",/iphone-11-pro-max-apple-512gb-6-5-desbloqueado-dourado/p,No J·Cotei desde Out/2019,//img.ijacotei.com.br/produtos/200/200/78/70/16037078.jpg,Mon Apr 20 17:40:07 2020
"IPhone 11 Pro Max Apple 512GB 6.5"" Desbloqueado Verde","R$ 8.074,15","R$ 9.498,99",/iphone-11-pro-max-apple-512gb-6-5-desbloqueado-verde/p,No J·Cotei desde Out/2019,//img.ijacotei.com.br/produtos/200/200/75/50/15955075.jpg,Mon Apr 20 17:40:07 2020
"IPhone 11 Pro Max Apple 512GB 6.5"" Desbloqueado Cinza Espacial","R$ 8.074,15","R$ 12.899,00",/iphone-11-pro-max-apple-512gb-6-5-desbloqueado-cinza-espacial/p,No J·Cotei desde Out/2019,//img.ijacotei.com.br/produtos/200/200/74/50/15955074.jpg,Mon Apr 20 17:40:07 2020
"iPhone 11 Pro Max Apple com 512GB, Tela Retina HD de 6,5î, iOS 13, Tripla C‚mera Traseira, Resistente ‡ ¡gua e Bateria de Longa DuraÁ„o - Prateado","R$ 8.074,15","R$ 8.074,15",https://track2.jacotei.com.br/r?h=eJxNUclu2zAQ%2FZUBDznJshRrSQwYQuME7cFBgzSH3owRNbLZSqQwJIMGQf69I6NqeyLeMssbvqtXYm%2BcVVuVp7lKVHibSIAejP4pcGLXRR3U9l1FHkQ4hzD57Xp9EYJLNXr0LZ4NptqNacvrMsuyoriumhjGo3eRNe1%2BoHaBzNVMjdSZOO7EPSFj53hi0u4iaWcD2bBbWlxpsY96KT9%2BfzysjquXh8ODPPu%2FDQQsFbKynrTaZulNmahXHKKkucnqIs0FWxzncObp7CxBnsMTO3jEX%2FBpmgYCWQnK%2FPrzXQIvNCA8UzAW4cs9dARVUjYJmK%2FfIN%2BIzmYSx74ZiVEQejKMiZR44%2BcMBA00p4hAcIeB2ODc5ODsCeE%2BMjaNg5XMF00i%2FDt8tOi9OVnqhHN9T3w0nfCFprqqNPW3XVEXPfWVLvO2y%2Fqqwtu2LsXtg2O6uOuiXuCfyPv5m2QT%2Baf5RDL15PjtYi7r%2F4jFTkMckNWHSCznVPWmzQrakPr4DbUatM0%3D,No J·Cotei desde Abr/2020,https://www.casasbahia-imagens.com.br/Control/ArquivoExibir.aspx?IdArquivo=1175169451,Mon Apr 20 17:40:07 2020
"iPhone 11 Pro Max Apple com 512GB, Tela Retina HD 6,5î, iOS 13, Tripla C‚mera Traseira, Resistente ‡ ¡gua e Bateria de Longa DuraÁ„o - Cinza-Espacial","R$ 8.074,15","R$ 8.074,15",https://track2.jacotei.com.br/r?h=eJxNUk1v2zAM%2FSuEDj05TpTYsRsgMNY02A4pVmw99BYwEp1qsyVBlop2Rf%2F76KDeehLeByk%2BSm%2FimcJgnBUbIXMpMhFfPTFQnVG%2FGfrgdFJRbN5ECh0LTzH6YTOfX4TocnqJAXPl%2BvwU5uVisSiKZdmk2B8Hl4Ki7S9ULpK5GqmetEn9lt0eA2oXfCDlLpJyNpKN26nFlWJ7r6by4%2BPdYXacPewPez52%2FxowmCp4WuWV2CzyuszEM3aJg9SLqsglY4v9mMvcPzlLICXcBwd3%2BAJfvO8IeCQo5fLrTQYP1CH8oGgswrdbWGdlk4H5%2FhPkisVgPMu7pqeAjHAgEzBj%2F2CGMQBBA805IRDcYKRgEDTBwdkzwm0K2DQOZrAz9g%2FO9oNHZbD7v%2FZkcRjM2ZJmzrUthaPRzNe1Wunrk74mTcuT1LVsW2yrStaqKso1sXuILtDFXa1WE%2FxIvZ8eadwRT3V24fViLatPxId5R13qMIh3loIa%2F8KyIFrzJe9%2FAZc2s90%3D,No J·Cotei desde Abr/2020,https://www.extra-imagens.com.br/Control/ArquivoExibir.aspx?IdArquivo=1175169433,Mon Apr 20 17:40:07 2020
"IPhone 11 Pro Max Apple 512GB 6.5"" Desbloqueado Prata","R$ 8.074,15","R$ 9.599,00",/iphone-11-pro-max-apple-512gb-6-5-desbloqueado-prata/p,No J·Cotei desde Out/2019,//img.ijacotei.com.br/produtos/200/200/73/64/16016473.jpg,Mon Apr 20 17:40:07 2020
