modelo_celular,maior_preco,menor_preco,data_anuncio,destino_do_link,link_aunicio,timestamp
"Apple iPhone 8 Plus 5,5 polegadas 4G LTE 12MP Câmera de Smartphone de gravação de vídeo 4K","R$ 11.635,52","R$ 11.635,52", Abr/2020,images-americanas.b2w.io,https://track2.jacotei.com.br/r?h=eJxVUdGK2zAQ%2FBUhSJ5yjiVFthwIIaRNH3pHA%2B37sZZWiTnFcmU74Tju37vnNrQFPezMzsLM6I1fMfVNbPmai0zwBR9eOyRgQ2NfCHYputEOfP3GxxRocR6Grl8vl0MC%2B4JJZuD0NGc2Xu7scjrfgrUbaa1HI6Xzzmin6lIqXfqV0z43lffFvNnoygi0lUC0yvlaeGMKL1DO40ZjVbtSFd5gpRFor0yuQM8TuiahHZ7J1WbyNFO7mTzQu91uGVwwNRZa6D9sZXUifooyRJpEUciVqkqlZurgE7Q%2FZ%2BrT7vD4kKsHmatCzGSBHSRia3kD34QGXOyJjV37W7rbf3sifA4EQ7xhoq5sZ%2Fk6z4xe8CuEkWoUolA603LBW3JE7e26LiBrjufYIjPsGMae6YVmXQx4Agc9W31hjz8%2BMyGfjmy%2FpRjAHLLvF0hDN10ROiW4wnYbP%2Bbr1mFkq69%2Fv26k1H1zatERF73H9Nw44pVEULkDJwqrRaVzqGtJNQssyqIuNan7ISac1Erf0d35f41%2BpIUBTzG9TnJd%2FkP8udhjGAMk%2Fk6rRM3wVWkEKKv5%2By%2Bd%2BMSm,Thu Apr 30 13:01:13 2020
"Apple iPhone 8 Plus 5,5 polegadas 4G LTE 12MP Câmera de Smartphone de gravação de vídeo 4K","R$ 10.163,78","R$ 10.163,78", Abr/2020,images-americanas.b2w.io,https://track2.jacotei.com.br/r?h=eJxVUdGK2zAQ%2FBUhSJ5yjiVZshwIIeSaPvSOBtr3Q5ZWiTnFcmU74Tju37txG9oDPezMzsLM6J1eIPVNbOmKsozRBR3eOkBgQ2NfEXYputEOdPVOxxRwcRqGrl8tl0My9hUSz4yT05zZeL6zy%2Bl8Y6xdc2s9aM6dd1o6UZdcyNIXTvpcV96rebOWlWZgKwZghfM181orz4DP41pCZZnT3muoJBjcC20LL%2BcJXJPADi%2Foaj15montjO%2FxXa%2FXzJwhNda0pr%2FZyuqE%2FBRliDgxpXihRSnZTOx9Mu2vmXjc7p8ecvHAc6HYjCvoTEK25lfjm9AYF3tkY9f%2BkW53358RnwLCEK%2BQsCvbWbrKMy0X9GLCiDWynCmRlXpBW3SE7W27LgBpDqfYAtHkEMaeyIUkXQxwNM70pPhKnn5%2BIYw%2FH8hugzEMcUB%2BnE0auukK0TGZi9ls4m2%2BbBxEUnz793Ujpu6bYwsOueg9pJfGIa8qXkOli9p7U%2BdlzmxdKiU1kzzXXnNU90NMMKmFvKO780%2BN3tKaAY4xvU1yWf5H%2FL3YQRiDSfQDVwmboUXJlS1LTT9%2BAz80xK0%3D,Thu Apr 30 13:01:13 2020
iPhone 11 Pro Max 512GB Prateado iOS 4G + Wi-Fi Câmera 12MP,"R$ 8.699,00","R$ 8.699,00", Fev/2020,images-americanas.b2w.io,https://track2.jacotei.com.br/r?h=eJxVUcFq4zAU%2FBUhcC5NHEuyFDkQSjZLetnQwB72WGTpqRF1La9s11tK%2F31f3Zbdgg5v5o3QzOiFPkHqQ2zplrKc0SUdnjtAYJtgHxB2KbrRDnT7QsfU4OIyDF2%2FXa%2BHZOwDJJ4bJ%2Bc5t%2FHxk13P16%2BNtTturQfNufNOSyfqDRdy40snfaEr79Ui7GSlGdiKAVjhfM281soz4Iu4k67yAMCU5doIW8sCRO2dWCRwIYEd7tDVbvaUiX3Gj3imacrNI6RgTWv6N1t5nZCfowwRJ654pZXWMhNHn0z7OxPf98cfq0KseCEUy7iCziRkaz4ZH5pgXOyRjV37Lt0fbk%2BILw3CJk6QsCrbWbotci2X9Mk0I7aoVVXlxZK2aAerC%2BdLbIEwRs4pkpP5QyTjN98QmQHwBRJuf5LyhlyRX2F1DORwjSkMYfx0%2FvcxI2bqw30LDrnoPaS74JAvCs9Kya0sVAVC1IxDXdRWqZIJqL1GdT%2FEBLNayE%2F0YW3%2Fpa%2B3MGjpPqbnWS43%2FxEfNw7QjI1J9BVXCYNTL0rpTcno618Gf7kJ,Thu Apr 30 13:01:13 2020
Smartphone Samsung Galaxy S20 Ultra SM-G988B Desbloqueado Dual Chip 512GB Android 10 Preto,"R$ 8.499,00","R$ 8.499,00", Mar/2020,jacotei.com.br,https://www.jacotei.com.br/smartphone-samsung-galaxy-s20-ultra-sm-g988b-desbloqueado-dual-chip-512gb-android-10-preto/p,Thu Apr 30 13:01:13 2020
"Smartphone Samsung Galaxy Z Flip 256GB - Ultravioleta 8GB RAM 6,7 Câm.","R$ 8.369,07","R$ 8.369,07", Abr/2020,a-static.mlcdn.com.br,https://track2.jacotei.com.br/r?h=eJxVkUtvGyEUhf8KYuGVmZfNPCxZURup2TSbRt10E10YZkILA%2BJh1Y7y33s7cdpkhc65F%2B79Ds%2F0pELUbqEHWhc13dJ09gqFNFr%2BQumDG7NM9PBMczBYeErJx0NZSpOFagoLM1z0okzWFyiks4UIZbQQkn9yi2IRbMzLzGYw8PvMLmwy2rOGt7Ng2aQAJ%2B2MSsB6NAJY1nZM4jFmb4BFZSatWF1ZX%2Fqy5px3w76qyqRKHDuVN5vl%2BBOkS0pvcrKP0eUg1QfLqlFnexSNWCW%2B7UHPy9HDGMBtPG66qPCox%2BPQcb7BieZVfiDDJKSX9FAVPd%2FSE5iMIfW7diiqbksXsH8ze%2FiHTR5escndik1%2BkC%2BITRD77jNh5Ps7cNKj9e3TPWm3Hbm9scX%2FP8gLxIi7qhE9N03rXugrKYdm6EUtOe9r3jVDNbQC1LTv96NoeuyOyQW1du%2BaN3Xd8v7KRb6%2BgUFSswvntZ1374zrjVvMwECgL1gKGALd8aYW%2B6GlL38AbAG%2BxA%3D%3D,Thu Apr 30 13:01:13 2020
Smartphone Samsung Galaxy Z Flip SM-F700F Desbloqueado Dual Chip 256GB Android 10.0 Preto,"R$ 8.369,07","R$ 8.369,07", Mar/2020,jacotei.com.br,https://www.jacotei.com.br/smartphone-samsung-galaxy-z-flip-sm-f700f-desbloqueado-dual-chip-256gb-android-10-0-preto/p,Thu Apr 30 13:01:13 2020
"iPhone 11 Pro Max Apple com 512GB, Tela Retina HD de 6,5”, iOS 13, Tripla Câmera Traseira, Resistente à Água e Bateria de Longa Duração - Dourado","R$ 8.099,10","R$ 8.099,10", Mar/2020,www.pontofrio-imagens.com.br,https://track2.jacotei.com.br/r?h=eJxNUctu20AM%2FBViDznJsh5WZBswhMZOk4ODGm0OvRnsLuVsK2kX1G6QIMi%2FlzLitCdiOEOCM3xTz8SjdYNaqzzNVaLCqycBurP6j0DPzkQd1PpNRe6EeArBj%2Bv5%2FEwEl3o3BNeydal2ffqL51WWZYtFUTcx9MfRRda0%2BY3aBbJXU6snY2O%2FEbVHRuPYM2l3prTsoiFsLiuutMh7fRk%2F%2FnzYz46zx9v9rZTt5wIBlwm5WHut1lm6rBL1jF0UM8tstUrzRA3YT9bs4ckNBHkOB3bwgC%2FwxfuOQC6CKi%2FubhJ4pA7hOwU7INzvwBBcJ1WTgP32A%2FJSeLZeFNumJ0ZBOJJlTGRktONkgaCB5hQRCG4wEFucluzdcELYRcamcTCDnaQjBv6lHgccR3sayEjPtS3x0Rrpl0Y81PnKFMuK6qLSxuS6bVf1oi2KrJ3%2BNgbHdFaXywv6MHyYXgRf5UdTPHLOyfHrWVrV%2FzU%2B1FvqYoes3oViiVK114u6xLJQ738BZ%2Fuy0g%3D%3D,Thu Apr 30 13:01:13 2020
"iPhone 11 Pro Max Apple com 512GB, Tela Retina HD de 6,5”, iOS 13, Tripla Câmera Traseira, Resistente à Água e Bateria de Longa Duração - Prateado","R$ 8.099,10","R$ 8.099,10", Nov/2019,www.pontofrio-imagens.com.br,https://track2.jacotei.com.br/r?h=eJxNUUtv2zAM%2FiuEDj05juXEqRMgMNq02w4pFnQ97BbQMp2qsy2BlooVRf%2F76KDZdhK%2BBx8f9a5eiUfrBrVROtUqUeHNkwDTWfNLoGfXRBPU5l1F7kR4DsGPm%2Fn8LASXejcE17J1qXF9WvO8yLJsucxXVQz9cXSRDW1f0LhA9mqiemps7Lfi9sjYOPZMxp0lI71oCNtLiysj9t5cyo8%2FH%2Faz4%2Bzpfn8vz%2B5vAwGXCtnYeKM2WVoWiXrFLkqYMluvU52oAfspmj08u4FAaziwgwf8DTfedwSyERQ6%2F3qbwBN1CI8U7IDw7Q4aglVSVAnY7z9AL0Rn68Wxq3piFIQjWcZESkY7ThEIKqhOEYHgFgOxxanJ3g0nhLvIWFUOZjJfNEnw7%2BxxwHG0p4Ea4VzbEh9tI%2FxKt1gvqV4ZjRnldXvd6Dovdb4sm%2FVibcQ9Bsd0di%2FKC%2FpMfJj%2BCL7IJ033kZknx29na3H9H%2FHp3lEXO2T1IRLLLVWpizVmdaY%2B%2FgBixLOk,Thu Apr 30 13:01:13 2020
iPhone Xs Max Ouro 512GB IOS12 4G + Wi-fi Câmera 12MP - Apple,"R$ 8.045,76","R$ 8.045,76", Abr/2020,images-americanas.b2w.io,https://track2.jacotei.com.br/r?h=eJxVUWFr2zAU%2FCtC4HxZ4liSZdmBULyMlMFCCvuwfSuy9NSIupYn2%2FVK6X%2Fvq9eyDQR6d7oHd6dn%2Bghx8KGjO8pSRtd0fOoBgWm9uUfYx2AnM9LdM51iiw%2BXceyH3XY7Rm3uIfJUW7nMqQkPH%2Bx2Wb%2FSxuy5MQ5Kzq2zpbSiUVxI5XIrXVZWzhUrv5dVycBUDMAI6xrmyrJwDPgq7GVjG21ZAU3DKm0KbmylmNKrCNZHMOMtutovnhJRJ%2FyIZ57nVD9A9EZ3enizlTYR%2BSXKGHBiIs9ULlWeiKOLuvuViC%2F18dsmExueiYIlvIBeR2QbPmvnW69tGJANffdHWh%2FOJ8SXFmEbZohYlekN3WVpKdf0UbcTtlhmuUxVsaYd%2BsHu%2FM0ldEB%2BDuSkf5PzFAORjF9%2FJl%2FP3xkn%2BTX5RH74jfPkcIUBNGH8dEM2pO77Fv7%2BzYSxBn%2FXgUUuOAfx1lvkORbtCpsZkwsFCrLCQQZNoXKRN3ihehhDhEUt5Ad6N1f%2FV9lbHj3CXYhPi1yqf4j3jQO0U6sjfcGniNmpc5VVjAN9eQURrrpS,Thu Apr 30 13:01:13 2020
iPhone 11 Pro 512GB Cinza Espacial iOS 4G + Wi-Fi Câmera 12MP,"R$ 7.999,00","R$ 7.999,00", Mar/2020,images-americanas.b2w.io,https://track2.jacotei.com.br/r?h=eJxVUctu2zAQ%2FBWCgHypLfMhSqQBI3DdOpcGMdBDjwG1JGMiiqhScow0yL93oyZoC%2FCwMzsLzAxf6JPPY0w93VBecrqk0%2FPgEUAX4QHhkJM7w0Q3L%2FScO1ycpmkYN%2Bv1lC08%2BCxK69Q8l5AeP9j1fH5lAbYCIHgthAtOKyfbRkjVhMqpwLQJoV7ErTKaezDce5AutDxoXQfuxSJtlUMNl6YGoa2EVjEvgVVqkb2L2cN0h662s6dC7gpxwHe5XEr76HME29vxzVbZZuTnKFPCSdTCGG2ULuQhZNv%2FLOSX3eHbismVYLLmhaj9YDOyrbjYELtoXRqRTUP%2FR7rb394gPnUIu3TxGauCAeiGlVot6ZPtzthiY4wp2ZL2aAeri8dT6j3hnBxzIoqL689kH%2FtflnwdBwvRdiTefifVNflEfsTVIZL9FeawhIub49%2BvOWOqMd733iGXQvD5LjrkGZgWnAiqEgJYG2wl2rY23jDbVk4DqscpZT%2BrpfpA7%2BZ2%2FzX2FsdO%2Fj7l51mumn%2BI94u9786dzfQVVxmjU80FCwoa%2Bvob1KO51w%3D%3D,Thu Apr 30 13:01:13 2020
