modelo_celular,maior_preco,menor_preco,data_anuncio,destino_do_link,link_anuncio,timestamp
"Smartphone Samsung Galaxy S10 SM-G973F Desbloqueado 128GB Dual Chip Android 9 Pie Preto + Smart TV Samsung Qled 8k 2019 Q900 75""","R$ 40.999,00","R$ 40.999,00", Mai/2020,jacotei.com.br,https://www.jacotei.com.br/smartphone-samsung-galaxy-s10-sm-g973f-desbloqueado-128gb-dual-chip-android-9-pie-preto-smart-tv-samsung-qled-8k-2019-q900-75/p,Thu May 21 23:18:32 2020
Smartphone Huawei P20 Pro Desbloqueado 128GB Android 8.1 Crepúsculo,"R$ 16.241,06","R$ 16.241,06", Jul/2018,jacotei.com.br,https://www.jacotei.com.br/smartphone-huawei-p20-pro-desbloqueado-128gb-android-8-1-crepusculo/p,Thu May 21 23:18:32 2020
Recuperado iPhone 8 64GB / 256GB Desbloqueado-Like New (EU Plug),"R$ 13.932,00","R$ 13.932,00", Abr/2020,images-americanas.b2w.io,https://tracker2.ad5track.com/tracker/click?acc=2ccfe822dfd85d3b72357f4d5f089ff6&i=5981ec91eec3dfb1f886f1e2&o=5e96ea38f8e95eac3d2642ef&redirect_url=https%3A%2F%2Fwww.americanas.com.br%2Fproduto%2F1651345643%3Ffranq%3DAFL-03-20361%26epar%3Db2wafiliados%26opn%3DAFLACOM%26hl%3Dlower,Thu May 21 23:18:32 2020
Reyno X2 Pro 8 + 128GB Mobile Phone 6.5 '' tela cheia Snapdragon 855 Além disso 64MP Quad Câmera NFC celular vooc 50W Super Charger,"R$ 11.296,52","R$ 11.296,52", Abr/2020,images-americanas.b2w.io,https://tracker2.ad5track.com/tracker/click?acc=2ccfe822dfd85d3b72357f4d5f089ff6&i=5981ec91eec3dfb1f886f1e2&o=5e95e225f8e95eac3d22c66e&redirect_url=https%3A%2F%2Fwww.americanas.com.br%2Fproduto%2F1649554841%3Ffranq%3DAFL-03-20361%26epar%3Db2wafiliados%26opn%3DAFLACOM%26hl%3Dlower,Thu May 21 23:18:32 2020
iPhone 11 Pro Max 512GB Prateado iOS 4G + Wi-Fi Câmera 12MP,"R$ 9.599,00","R$ 9.599,00", Fev/2020,images-americanas.b2w.io,https://tracker2.ad5track.com/tracker/click?acc=2ccfe822dfd85d3b72357f4d5f089ff6&i=5981ec91eec3dfb1f886f1e2&o=5d9feee16c28a3cb50e3bfd3&redirect_url=https%3A%2F%2Fwww.americanas.com.br%2Fproduto%2F262986885%3Ffranq%3DAFL-03-20361%26epar%3Db2wafiliados%26opn%3DAFLACOM%26hl%3Dlower,Thu May 21 23:18:32 2020
Smartphone Motorola Razr 128GB Dual Chip Android Tela 6.2” Qualcomm Snapdragon 710 (SM710) 4G Câmera 16MP - Preto,"R$ 8.999,00","R$ 8.999,00", Abr/2020,images-shoptime.b2w.io,https://tracker2.ad5track.com/tracker/click?acc=59d7f5fb5371168019f9d4fdaebc4a29&i=5981ecb5eec3dfb1f8871ad5&o=5eaab41af8e95eac3d6694c5&redirect_url=https%3A%2F%2Fwww.shoptime.com.br%2Fproduto%2F1524058318%3Fopn%3DAFLSHOP%26epar%3Db2wafiliados%26franq%3DAFL-03-20361%26hl%3Dlower,Thu May 21 23:18:32 2020
Smartphone Motorola Razr 128GB Dual Chip Android Tela 6.2” Qualcomm Snapdragon 710 (SM710) 4G Câmera 16MP - Preto,"R$ 8.999,00","R$ 8.999,00", Abr/2020,images-submarino.b2w.io,https://tracker2.ad5track.com/tracker/click?acc=6c729faacd3ecabd5202efce4f88e130&i=5981ecdfeec3dfb1f8874205&o=5eaab406f8e95eac3d668866&redirect_url=https%3A%2F%2Fwww.submarino.com.br%2Fproduto%2F1524058318%3Fopn%3DAFLNOVOSUB%26epar%3Db2wafiliados%26franq%3DAFL-03-20361,Thu May 21 23:18:32 2020
"iPhone 11 Pro Max Apple com 512GB, Tela Retina HD de 6,5”, iOS 13, Tripla Câmera Traseira, Resistente à Água e Bateria de Longa Duração - Dourado","R$ 8.927,07","R$ 8.927,07", Mar/2020,www.pontofrio-imagens.com.br,https://produto.pontofrio.com.br/50004427?utm_source=jacotei&utm_medium=comparadorpreco&utm_content=50004427&cm_mmc=jacotei_XML-_-TELE-_-Comparador-_-50004427,Thu May 21 23:18:32 2020
"iPhone 11 Pro Max Apple com 512GB, Tela Retina HD de 6,5”, iOS 13, Tripla Câmera Traseira, Resistente à Água e Bateria de Longa Duração - Prateado","R$ 8.927,07","R$ 8.927,07", Mai/2020,www.pontofrio-imagens.com.br,https://produto.pontofrio.com.br/50004426?utm_source=jacotei&utm_medium=comparadorpreco&utm_content=50004426&cm_mmc=jacotei_XML-_-TELE-_-Comparador-_-50004426,Thu May 21 23:18:32 2020
"iPhone 11 Pro Max Apple com 512GB, Tela Retina HD de 6,5”, iOS 13, Tripla Câmera Traseira, Resistente à Água e Bateria de Longa Duração - Prateado","R$ 8.927,07","R$ 8.927,07", Abr/2020,www.casasbahia-imagens.com.br,https://produto.casasbahia.com.br/50004426?utm_source=jacotei&utm_medium=comparadorpreco&utm_content=50004426&cm_mmc=jacotei_XML-_-TELE-_-Comparador-_-50004426,Thu May 21 23:18:32 2020
"iPhone 11 Pro Max Apple com 512GB, Tela Retina HD 6,5”, iOS 13, Tripla Câmera Traseira, Resistente à Água e Bateria de Longa Duração - Cinza-Espacial","R$ 8.927,07","R$ 8.927,07", Abr/2020,www.extra-imagens.com.br,https://produto.extra.com.br/50004425?utm_source=jacotei&utm_medium=comparadorpreco&utm_content=50004425&cm_mmc=jacotei_XML-_-TELE-_-Comparador-_-50004425,Thu May 21 23:18:32 2020
"Blackview BV9600 Pro IP68 Waterproof Mobile Phone Helio P60 6GB + 128GB 19: 9 6.21"" FHD AMOLED NFC Android 8.1 5580mAh Smartphone","R$ 8.615,46","R$ 8.615,46", Mai/2020,images-americanas.b2w.io,https://tracker2.ad5track.com/tracker/click?acc=2ccfe822dfd85d3b72357f4d5f089ff6&i=5981ec91eec3dfb1f886f1e2&o=5ebb47a2f8e95eac3da955c3&redirect_url=https%3A%2F%2Fwww.americanas.com.br%2Fproduto%2F1645154613%3Ffranq%3DAFL-03-20361%26epar%3Db2wafiliados%26opn%3DAFLACOM%26hl%3Dlower,Thu May 21 23:18:32 2020
"OnePlus T5 Mobile Phone 6.01"" 6 GB + 64GB / 8GB + 128GB Dual SIM Cartão Snapdragon 835 Octa Núcleo Smartphone Android","R$ 8.594,35","R$ 8.594,35", Abr/2020,images-americanas.b2w.io,https://tracker2.ad5track.com/tracker/click?acc=2ccfe822dfd85d3b72357f4d5f089ff6&i=5981ec91eec3dfb1f886f1e2&o=5e917588f8e95eac3d1a1f58&redirect_url=https%3A%2F%2Fwww.americanas.com.br%2Fproduto%2F1645430745%3Ffranq%3DAFL-03-20361%26epar%3Db2wafiliados%26opn%3DAFLACOM%26hl%3Dlower,Thu May 21 23:18:32 2020
"IPhone 11 Pro Max Apple 512GB 6.5"" Desbloqueado Dourado","R$ 9.599,00","R$ 8.499,00", Out/2019,jacotei.com.br,https://www.jacotei.com.br/iphone-11-pro-max-apple-512gb-6-5-desbloqueado-dourado/p,Thu May 21 23:18:32 2020
"iPhone X Apple 256GB 5,8"" Desbloqueado Prata","R$ 8.365,99","R$ 8.365,99", Nov/2017,jacotei.com.br,https://www.jacotei.com.br/iphone-x-apple-256gb-5-8-desbloqueado-prata/p,Thu May 21 23:18:32 2020
"iPhone 11 Pro Apple com 512GB, Tela Retina HD de 5,8”, iOS 13, Tripla Câmera Traseira, Resistente à Água e Bateria de Longa Duração - Dourado","R$ 8.362,98","R$ 8.362,98", Mai/2020,www.pontofrio-imagens.com.br,https://produto.pontofrio.com.br/50004440?utm_source=jacotei&utm_medium=comparadorpreco&utm_content=50004440&cm_mmc=jacotei_XML-_-TELE-_-Comparador-_-50004440,Thu May 21 23:18:32 2020
