,modelo_celular,menor_preco,data_anuncio,tela,touchscreen,4g,3g,camera traseira,camera selfie,nfc,gravacao de video,dual chip,profundidade,formato,flash embutido,memoria interna,peso,tecnologia,android,ios,wind,brand,sem_recurso,auto rotacao,multitouch,resistente a respingos d'agua,force touch,curva,full hd,resistente a arranhoes,resistente a queda,3d,link_anuncio,cluster
1,smartphone huawei p20 pro desbloqueado 128gb android 8.1 crepusculo,16241,2018,6.1,1,1,1,40.0,24.0,1,rec_capacity_not_informed,0,3.1163013698630135,barra,1,128.0,180.0,gsm,8.1,0.0,0.0,huawei,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-huawei-p20-pro-desbloqueado-128gb-android-8-1-crepusculo/p,151
13,"iphone 11 pro max apple 512gb 6.5"" desbloqueado dourado",8499,2019,6.5,1,1,1,12.0,12.0,1,4k. hd,0,0.8,barra,1,512.0,224.0,tec_not_informed,0.0,13.0,0.0,apple,0,0,0,0,0,0,1,0,0,0,https://www.jacotei.com.br/iphone-11-pro-max-apple-512gb-6-5-desbloqueado-dourado/p,217
14,"iphone x apple 256gb 5.8"" desbloqueado prata",8365,2017,5.8,1,1,1,12.0,7.0,1,4k. hd,0,0.77,barra,1,256.0,174.0,gsm,0.0,11.0,0.0,apple,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/iphone-x-apple-256gb-5-8-desbloqueado-prata/p,199
18,"iphone 11 pro max apple 512gb 6.5"" desbloqueado cinza espacial",8338,2019,6.5,1,1,1,12.0,12.0,1,4k. hd,0,0.8,barra,1,512.0,224.0,tec_not_informed,0.0,13.0,0.0,apple,0,0,0,0,0,0,1,0,0,0,https://www.jacotei.com.br/iphone-11-pro-max-apple-512gb-6-5-desbloqueado-cinza-espacial/p,217
19,"iphone 11 pro max apple 512gb 6.5"" desbloqueado prata",8338,2019,6.5,1,1,1,12.0,12.0,1,4k. hd,0,0.8,barra,1,512.0,224.0,tec_not_informed,0.0,13.0,0.0,apple,0,0,0,0,0,0,1,0,0,0,https://www.jacotei.com.br/iphone-11-pro-max-apple-512gb-6-5-desbloqueado-prata/p,217
22,"iphone 11 pro max apple 512gb 6.5"" desbloqueado verde",8183,2019,6.5,1,1,1,12.0,12.0,1,4k. hd,0,0.8,barra,1,512.0,224.0,tec_not_informed,0.0,13.0,0.0,apple,0,0,0,0,0,0,1,0,0,0,https://www.jacotei.com.br/iphone-11-pro-max-apple-512gb-6-5-desbloqueado-verde/p,217
23,smartphone samsung galaxy z flip sm-f700f desbloqueado dual chip 256gb android 10.0 preto,8099,2020,6.7,1,1,1,12.0,10.0,1,rec_capacity_not_informed,1,3.96212962962963,flip,1,256.0,161.71428571428572,tec_not_informed,10.0,0.0,0.0,samsung,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-samsung-galaxy-z-flip-sm-f700f-desbloqueado-dual-chip-256gb-android-10-0-preto/p,37
25,"smartphone samsung galaxy z flip sm-f700fz dual chip 256gb 8gb ram 6.7"" ultravioleta",8099,2020,6.7,1,1,1,10.0,12.0,1,rec_capacity_not_informed,1,6.7,flip,1,256.0,175.0,tec_not_informed,10.0,0.0,0.0,samsung,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-samsung-galaxy-z-flip-sm-f700fz-dual-chip-256gb-8gb-ram-6-7-ultravioleta/p,37
26,"smartphone motorola razr 128gb 6gb 6.2"" desbloqueado android 9 black",8099,2020,6.2,1,1,1,16.0,5.0,0,rec_capacity_not_informed,0,3.96212962962963,flip,0,128.0,161.71428571428572,tec_not_informed,9.0,0.0,0.0,motorola,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-motorola-razr-128gb-6gb-6-2-desbloqueado-android-9-black/p,155
31,iphone xs max apple oled 6.5'' desbloqueado 256gb prata,7954,2018,6.5,1,1,1,12.0,7.0,1,4k. hd,0,0.77,barra,1,256.0,208.0,tec_not_informed,0.0,12.0,0.0,apple,0,0,0,0,0,0,1,0,0,0,https://www.jacotei.com.br/iphone-xs-max-apple-oled-6-5-desbloqueado-256gb-cinza-espacial-copia-de-13376351/p,202
